gene,gene_id,chromosome,gene_length,is_multi_disease,num_diseases,diseases,max_score,mean_score,weighted_score,top_disease,shared_snp_count,total_snp_count,AD_score,AD_score_raw,AD_snps,T2D_score,T2D_score_raw,T2D_snps
XXbac-BPG32J3.20,,6,10000,False,1,T2D,0.629253,0.629253,0.629253,T2D,0,9,0,0,0,0.629253,0.629253,9
YJEFN3,,19,10000,False,1,T2D,0.594793,0.594793,0.594793,T2D,0,2,0,0,0,0.594793,0.594793,2
YKT6,,7,10000,False,1,T2D,0.6728,0.6728,0.6728,T2D,0,18,0,0,0,0.6728,0.6728,18
YPEL3,,16,10000,False,1,AD,0.607277,0.607277,0.607277,AD,0,1,0.607277,0.607277,1,0,0,0
YTHDC2,,5,10000,False,1,T2D,0.608081,0.608081,0.608081,T2D,0,1,0,0,0,0.608081,0.608081,1
ZBTB12,,6,10000,False,1,T2D,0.634358,0.634358,0.634358,T2D,0,3,0,0,0,0.634358,0.634358,3
ZBTB46,,20,10000,False,1,T2D,0.477739,0.477739,0.477739,T2D,0,1,0,0,0,0.477739,0.477739,1
ZBTB9,,6,10000,False,1,T2D,0.628881,0.628881,0.628881,T2D,0,1,0,0,0,0.628881,0.628881,1
ZC3H4,,19,10000,False,1,T2D,0.578725,0.578725,0.578725,T2D,0,8,0,0,0,0.578725,0.578725,8
ZCWPW1,,7,10000,False,1,AD,0.626206,0.626206,0.626206,AD,0,5,0.626206,0.626206,5,0,0,0
ZFHX3,,16,10000,False,1,T2D,0.7938,0.7938,0.7938,T2D,0,3,0,0,0,0.7938,0.7938,3
ZFP1,,16,10000,False,1,T2D,0.595798,0.595798,0.595798,T2D,0,1,0,0,0,0.595798,0.595798,1
ZFP3,,17,10000,False,1,AD,0.494213,0.494213,0.494213,AD,0,1,0.494213,0.494213,1,0,0,0
ZFP36L2,,2,10000,False,1,T2D,0.652715,0.652715,0.652715,T2D,0,2,0,0,0,0.652715,0.652715,2
ZHX3,,20,10000,False,1,T2D,0.680941,0.680941,0.680941,T2D,0,1,0,0,0,0.680941,0.680941,1
ZMIZ1,,10,10000,False,1,T2D,0.772092,0.772092,0.772092,T2D,0,40,0,0,0,0.772092,0.772092,40
ZNF14,,19,10000,False,1,T2D,0.502323,0.502323,0.502323,T2D,0,1,0,0,0,0.502323,0.502323,1
ZNF155,,19,10000,False,1,AD,0.62826,0.62826,0.62826,AD,0,13,0.62826,0.62826,13,0,0,0
ZNF208,,19,10000,False,1,T2D,0.666614,0.666614,0.666614,T2D,0,1,0,0,0,0.666614,0.666614,1
ZNF221,,19,10000,False,1,AD,0.646346,0.646346,0.646346,AD,0,14,0.646346,0.646346,14,0,0,0
ZNF222,,19,10000,False,1,AD,0.567974,0.567974,0.567974,AD,0,3,0.567974,0.567974,3,0,0,0
ZNF223,,19,10000,False,1,AD,0.639183,0.639183,0.639183,AD,0,9,0.639183,0.639183,9,0,0,0
ZNF224,,19,10000,False,1,AD,0.665586,0.665586,0.665586,AD,0,19,0.665586,0.665586,19,0,0,0
ZNF225,,19,10000,False,1,AD,0.65954,0.65954,0.65954,AD,0,29,0.65954,0.65954,29,0,0,0
ZNF226,,19,10000,False,1,AD,0.705111,0.705111,0.705111,AD,0,35,0.705111,0.705111,35,0,0,0
ZNF227,,19,10000,False,1,AD,0.706015,0.706015,0.706015,AD,0,44,0.706015,0.706015,44,0,0,0
ZNF229,,19,10000,False,1,AD,0.660022,0.660022,0.660022,AD,0,1,0.660022,0.660022,1,0,0,0
ZNF230,,19,10000,False,1,AD,0.612758,0.612758,0.612758,AD,0,7,0.612758,0.612758,7,0,0,0
ZNF232,,17,10000,False,1,AD,0.494213,0.494213,0.494213,AD,0,1,0.494213,0.494213,1,0,0,0
ZNF233,,19,10000,False,1,AD,0.698606,0.698606,0.698606,AD,0,4,0.698606,0.698606,4,0,0,0
ZNF234,,19,10000,False,1,AD,0.65828,0.65828,0.65828,AD,0,24,0.65828,0.65828,24,0,0,0
ZNF235,,19,10000,False,1,AD,0.705126,0.705126,0.705126,AD,0,20,0.705126,0.705126,20,0,0,0
ZNF253,,19,10000,False,1,T2D,0.559232,0.559232,0.559232,T2D,0,1,0,0,0,0.559232,0.559232,1
ZNF257,,19,10000,False,1,T2D,0.608166,0.608166,0.608166,T2D,0,3,0,0,0,0.608166,0.608166,3
ZNF284,,19,10000,False,1,AD,0.665306,0.665306,0.665306,AD,0,7,0.665306,0.665306,7,0,0,0
ZNF285,,19,10000,False,1,AD,0.660022,0.660022,0.660022,AD,0,1,0.660022,0.660022,1,0,0,0
ZNF296,,19,10000,False,1,AD,0.742881,0.742881,0.742881,AD,0,4,0.742881,0.742881,4,0,0,0
ZNF34,,8,10000,False,1,T2D,0.541239,0.541239,0.541239,T2D,0,1,0,0,0,0.541239,0.541239,1
ZNF341,,20,10000,False,1,T2D,0.491608,0.491608,0.491608,T2D,0,1,0,0,0,0.491608,0.491608,1
ZNF346,,5,10000,False,1,T2D,0.782807,0.782807,0.782807,T2D,0,6,0,0,0,0.782807,0.782807,6
ZNF391,,6,10000,False,1,T2D,0.728753,0.728753,0.728753,T2D,0,1,0,0,0,0.728753,0.728753,1
ZNF404,,19,10000,False,1,AD,0.629837,0.629837,0.629837,AD,0,2,0.629837,0.629837,2,0,0,0
ZNF428,,19,10000,False,1,AD,0.638527,0.638527,0.638527,AD,0,1,0.638527,0.638527,1,0,0,0
ZNF43,,19,10000,False,1,T2D,0.610715,0.610715,0.610715,T2D,0,1,0,0,0,0.610715,0.610715,1
ZNF45,,19,10000,False,1,AD,0.633508,0.633508,0.633508,AD,0,13,0.633508,0.633508,13,0,0,0
ZNF506,,19,10000,False,1,T2D,0.513546,0.513546,0.513546,T2D,0,1,0,0,0,0.513546,0.513546,1
ZNF513,,2,10000,False,1,T2D,0.629321,0.629321,0.629321,T2D,0,1,0,0,0,0.629321,0.629321,1
ZNF575,,19,10000,False,1,AD,0.629887,0.629887,0.629887,AD,0,7,0.629887,0.629887,7,0,0,0
ZNF576,,19,10000,False,1,AD,0.638527,0.638527,0.638527,AD,0,1,0.638527,0.638527,1,0,0,0
ZNF664,,12,10000,False,1,T2D,0.660365,0.660365,0.660365,T2D,0,3,0,0,0,0.660365,0.660365,3
ZNF682,,19,10000,False,1,T2D,0.550514,0.550514,0.550514,T2D,0,3,0,0,0,0.550514,0.550514,3
ZNF708,,19,10000,False,1,T2D,0.660043,0.660043,0.660043,T2D,0,1,0,0,0,0.660043,0.660043,1
ZNF738,,19,10000,False,1,T2D,0.660043,0.660043,0.660043,T2D,0,1,0,0,0,0.660043,0.660043,1
ZNF799,,19,10000,False,1,T2D,0.611886,0.611886,0.611886,T2D,0,2,0,0,0,0.611886,0.611886,2
ZNF800,,7,10000,False,1,T2D,0.652892,0.652892,0.652892,T2D,0,3,0,0,0,0.652892,0.652892,3
ZNF831,,20,10000,False,1,T2D,0.603059,0.603059,0.603059,T2D,0,1,0,0,0,0.603059,0.603059,1
ZNF90,,19,10000,False,1,T2D,0.52161,0.52161,0.52161,T2D,0,1,0,0,0,0.52161,0.52161,1
ZNF93,,19,10000,False,1,T2D,0.559232,0.559232,0.559232,T2D,0,1,0,0,0,0.559232,0.559232,1
ZNRD1,,6,10000,False,1,T2D,0.618397,0.618397,0.618397,T2D,0,2,0,0,0,0.618397,0.618397,2
ZYX,,7,10000,False,1,AD,0.736739,0.736739,0.736739,AD,0,7,0.736739,0.736739,7,0,0,0
ZZEF1,,17,10000,False,1,T2D,0.671926,0.671926,0.671926,T2D,0,16,0,0,0,0.671926,0.671926,16
